ID;TITLE;SENTIMENT;CATEGORY_DATA;len;CATEGORY_DATA_filtred
27283;Cardano’s Much Awaited Vasil Hardfork Upgrade Postponed To Next Month;NEUTRAL;['ADA', 'ALTCOIN'];2;ALTCOIN:ADA
12822553;"Ex-Coinbase CTO: ‘Apple and Google are systemic risks to crypto’; This is why";NEGATIVE;['TECHNOLOGY', 'ICO'];2;ICO:TECHNOLOGY
6445805;Bitcoin price volatility due within days, new take says as BTC flatlines at $16.8K;NEUTRAL;['BTC', 'TRADING'];2;TRADING:BTC
11141012;Top 5 cryptocurrencies under $1 to buy in April 2023;NEUTRAL;['DOGE', 'FTM', 'SHIB', 'XLM'];4;SHIB:DOGE
15870799;RPL Coin Soars as Coinbase Ventures Makes Strategic Investment;POSITIVE;['ALTCOIN', 'BTC'];2;BTC:ALTCOIN
7675069;Class Action Lawsuit Filed Against Coinbase Over Flare Token Airdrop;NEGATIVE;['EXCHANGE', 'ICO'];2;EXCHANGE:ICO
1268409;Chainlink (LINK) Price Prediction 2025-2030: LINK rises 18% in 2023;NEUTRAL;['LINK', 'ALTCOIN', 'TRADING', 'BUSINESS', 'EXCHANGE', 'ICO', 'BLOCKCHAIN', 'ETH'];8;TRADING:BUSINESS:EXCHANGE
28113;Synonym CEO’s “Strategies for How To Behave When Bitcoin Is in High vs Low Demand”;NEUTRAL;['BTC', 'TECHNOLOGY', 'USDT'];3;BTC:TECHNOLOGY
7543198;Will Bitcoin (BTC) Surge Above $25K By January End? Here’s What Analysts Are Saying;NEUTRAL;['BTC', 'BLOCKCHAIN', 'TRADING'];3;TRADING:BTC:BLOCKCHAIN
6093882;Juno, the Crypto Banking App, Is Auctioning Off A Mutant Ape Yacht Club NFT;NEUTRAL;['BLOCKCHAIN', 'BUSINESS', 'SPONSORED'];3;BUSINESS:BLOCKCHAIN:SPONSORED
12718781;Tradecurve (TCRV), Dogecoin (DOGE), And Tron (TRX) – Best Crypto To Add To Your Investment Portfolio?;NEUTRAL;['DOGE', 'TRX', 'BTC', 'BUSINESS', 'ICO'];5;BTC:BUSINESS:ICO
2856747;Polkadot price analysis: DOT struggles to maintain $7 as bears intervene;NEGATIVE;['TRADING', 'DOT', 'MARKET'];3;TRADING:MARKET
381155;Texas to Enshrine Cryptocurrency in State’s Constitution;POSITIVE;['EXCHANGE'];1;EXCHANGE
5507031;'SBF's PR Tour Has Concluded': Crypto Twitter Reacts to FTX Founder's Arrest;NEGATIVE;['BUSINESS'];1;BUSINESS
33441;IRA Financial Files Lawsuit Against Gemini Over $36M hack;NEGATIVE;['EXCHANGE', 'BUSINESS'];2;BUSINESS:EXCHANGE
14076480;"Memecoin Mania Makes A Come-Back; SHIB, DOGE, PEPE Price Surge High-Here are the Next Targets";POSITIVE;['DOGE', 'SHIB', 'TRADING', 'ALTCOIN', 'ICO'];5;TRADING:ICO:ALTCOIN
15020999;New Twist in Ripple v. SEC Case as Judge Suggests Settlement Conference;NEUTRAL;['XRP', 'REGULATION'];2;REGULATION:XRP
2698497;Metaverse Revolution: Homespace Presents First In Its Kind Futuristic Metaverse;POSITIVE;['SPONSORED', 'TECHNOLOGY'];2;SPONSORED:TECHNOLOGY
16107256;Bitcoin-friendly El Salvador sees bond returns soar to 70% in 2023;POSITIVE;['BUSINESS', 'REGULATION'];2;BUSINESS:REGULATION
48777;Bitcoin and Ether Falter as Cardano, Solana, Shiba Inu Brace for Big Fed Rate Hikes;NEGATIVE;['ADA', 'MARKET', 'SHIB', 'SOL', 'ALTCOIN'];5;MARKET:ALTCOIN:SHIB
5611501;Dogecoin ($DOGE) Whale Transactions Soar on Key Price Level;POSITIVE;['DOGE', 'TRADING', 'ALTCOIN', 'ICO', 'MARKET'];5;TRADING:MARKET:ICO
11916633;Terra Classic-based Terraport Hack is an Insider Job, Confirms TerraCVita;NEGATIVE;['LUNC', 'MARKET'];2;MARKET
578969;Naoris Protocol Raises $11.5M From Prominent Investors to Expand Mesh-Based Cybersecurity Network;POSITIVE;['BLOCKCHAIN', 'BUSINESS'];2;BUSINESS:BLOCKCHAIN
12748185;LayerZero and Immunefi Announce Record $15 Million Crypto Bug Bounty Program;POSITIVE;['BLOCKCHAIN'];1;BLOCKCHAIN
1911804;Indonesian e-commerce giant buys local crypto exchange for $8 million;NEUTRAL;['EXCHANGE', 'TECHNOLOGY'];2;EXCHANGE:TECHNOLOGY
8467839;Can Filecoin’s latest achievements pull FIL out from the bears’ grip;NEUTRAL;['FIL', 'ALTCOIN', 'BUSINESS'];3;BUSINESS:ALTCOIN
11642884;AI-Blockchain CryptoGPT Secures $10 Million in Funding, Valued at $250 Million – Bull Market Back?;POSITIVE;['MARKET', 'ETH', 'ICO', 'MKR'];4;MARKET:ICO:ETH
3851314;Bosonic Is Selected by Payments Ecosystem, WadzPay®;NEUTRAL;['BUSINESS', 'MARKET'];2;MARKET:BUSINESS
